gbifID;type;format;identifier;references;title;description;source;audience;created;creator;contributor;publisher;license;rightsHolder
4029170520;StillImage;image/jpeg;https://inaturalist-open-data.s3.amazonaws.com/photos/254376197/original.jpeg;https://www.inaturalist.org/photos/254376197;;;;;17/10/2022 1:29;Anton Popovich;;iNaturalist;http://creativecommons.org/licenses/by/4.0/;Anton Popovich
4022312616;StillImage;image/jpeg;https://inaturalist-open-data.s3.amazonaws.com/photos/250317927/original.jpg;https://www.inaturalist.org/photos/250317927;;;;;15/09/2018 20:04;Filip Fuljer;;iNaturalist;http://creativecommons.org/licenses/by-nc/4.0/;Filip Fuljer
4022294471;StillImage;image/jpeg;https://inaturalist-open-data.s3.amazonaws.com/photos/230363652/original.jpg;https://www.inaturalist.org/photos/230363652;;;;;14/09/2022 18:03;camilletr;;iNaturalist;http://creativecommons.org/licenses/by-nc/4.0/;camilletr
4022101644;StillImage;image/jpeg;https://inaturalist-open-data.s3.amazonaws.com/photos/250546361/original.jpeg;https://www.inaturalist.org/photos/250546361;;;;;01/01/2002 9:58;Laurent Barthe;;iNaturalist;http://creativecommons.org/licenses/by-nc/4.0/;Laurent Barthe
4022101644;StillImage;image/jpeg;https://inaturalist-open-data.s3.amazonaws.com/photos/250546370/original.jpeg;https://www.inaturalist.org/photos/250546370;;;;;01/01/2002 10:00;Laurent Barthe;;iNaturalist;http://creativecommons.org/licenses/by-nc/4.0/;Laurent Barthe
4018135676;StillImage;image/jpeg;https://inaturalist-open-data.s3.amazonaws.com/photos/229512259/original.jpeg;https://www.inaturalist.org/photos/229512259;;;;;11/09/2022 19:26;helmling;;iNaturalist;http://creativecommons.org/licenses/by-nc/4.0/;helmling
4018135676;StillImage;image/jpeg;https://inaturalist-open-data.s3.amazonaws.com/photos/229512238/original.jpeg;https://www.inaturalist.org/photos/229512238;;;;;11/09/2022 19:26;helmling;;iNaturalist;http://creativecommons.org/licenses/by-nc/4.0/;helmling
4018103108;StillImage;image/jpeg;https://inaturalist-open-data.s3.amazonaws.com/photos/251857279/original.jpeg;https://www.inaturalist.org/photos/251857279;;;;;13/09/2022 2:00;sludgemuncher;;iNaturalist;http://creativecommons.org/licenses/by-nc/4.0/;sludgemuncher
4018103108;StillImage;image/jpeg;https://inaturalist-open-data.s3.amazonaws.com/photos/251857256/original.jpeg;https://www.inaturalist.org/photos/251857256;;;;;13/09/2022 2:00;sludgemuncher;;iNaturalist;http://creativecommons.org/licenses/by-nc/4.0/;sludgemuncher
4018103108;StillImage;image/jpeg;https://inaturalist-open-data.s3.amazonaws.com/photos/251857267/original.jpeg;https://www.inaturalist.org/photos/251857267;;;;;13/09/2022 2:00;sludgemuncher;;iNaturalist;http://creativecommons.org/licenses/by-nc/4.0/;sludgemuncher
4018103108;StillImage;image/jpeg;https://inaturalist-open-data.s3.amazonaws.com/photos/251857290/original.jpeg;https://www.inaturalist.org/photos/251857290;;;;;13/09/2022 2:00;sludgemuncher;;iNaturalist;http://creativecommons.org/licenses/by-nc/4.0/;sludgemuncher
4015220464;StillImage;image/jpeg;https://static.inaturalist.org/photos/161474911/original.jpeg;https://www.inaturalist.org/photos/161474911;;;;;22/09/2021 23:06;Alyona Ruchka;;iNaturalist;http://creativecommons.org/licenses/by/4.0/;Alyona Ruchka
4015220464;StillImage;image/jpeg;https://static.inaturalist.org/photos/161474899/original.jpeg;https://www.inaturalist.org/photos/161474899;;;;;22/09/2021 23:06;Alyona Ruchka;;iNaturalist;http://creativecommons.org/licenses/by/4.0/;Alyona Ruchka
4015220464;StillImage;image/jpeg;https://static.inaturalist.org/photos/161474890/original.jpeg;https://www.inaturalist.org/photos/161474890;;;;;22/09/2021 23:06;Alyona Ruchka;;iNaturalist;http://creativecommons.org/licenses/by/4.0/;Alyona Ruchka
